contrast,dataset,definition,n_eligible,harm_count,harm_rate,ci95_low,ci95_high,certain_harm_count,possible_harm_count
A_to_B_resampling,all,complete_plurality_correct,3168,150,0.04734848484848485,0.040216032929246574,0.05533076946235704,85,191
A_to_B_resampling,all,complete_all_correct,1653,1,0.0006049606775559589,1.5316160978816445e-05,0.003365967844393952,0,2
A_to_B_resampling,gsm8k,complete_plurality_correct,1151,31,0.02693310165073849,0.01837147153469748,0.03801288563504186,14,38
A_to_B_resampling,gsm8k,complete_all_correct,769,1,0.0013003901170351106,3.292248533084791e-05,0.007223810258826352,0,2
A_to_B_resampling,math,complete_plurality_correct,2017,119,0.05899851264253842,0.04911509433473243,0.07018653987971424,71,153
A_to_B_resampling,math,complete_all_correct,884,0,0.0,0.0,0.0041642459407442685,0,0
A_to_C_combined,all,complete_plurality_correct,3168,149,0.04703282828282828,0.03992414084266764,0.05499201365612493,86,188
A_to_C_combined,all,complete_all_correct,1653,1,0.0006049606775559589,1.5316160978816445e-05,0.003365967844393952,0,2
A_to_C_combined,gsm8k,complete_plurality_correct,1151,31,0.02693310165073849,0.01837147153469748,0.03801288563504186,14,38
A_to_C_combined,gsm8k,complete_all_correct,769,1,0.0013003901170351106,3.292248533084791e-05,0.007223810258826352,0,2
A_to_C_combined,math,complete_plurality_correct,2017,118,0.05850272682201289,0.04866062249592409,0.06965106239073096,72,150
A_to_C_combined,math,complete_all_correct,884,0,0.0,0.0,0.0041642459407442685,0,0
B_to_C_tokens,all,complete_plurality_correct,3168,1,0.0003156565656565657,7.991700384465666e-06,0.0017574573609850693,0,86
B_to_C_tokens,all,complete_all_correct,1653,0,0.0,0.0,0.0022291387856949057,0,2
B_to_C_tokens,gsm8k,complete_plurality_correct,1151,0,0.0,0.0,0.003199804045100097,0,21
B_to_C_tokens,gsm8k,complete_all_correct,769,0,0.0,0.0,0.004785495240279575,0,2
B_to_C_tokens,math,complete_plurality_correct,2017,1,0.0004957858205255329,1.2552131426738143e-05,0.0027592133218711126,0,65
B_to_C_tokens,math,complete_all_correct,884,0,0.0,0.0,0.0041642459407442685,0,0
