model,scope,contrast,population,n,k,rate,ci95_upper_onesided,equivalence_margin_rejected,p_equivalence_margin_10,p_equivalence_margin_05,p_equivalence_margin_02,p_equivalence_margin_01,detectable_rate_power80,reference_contrast,reference_k,mcnemar_discordant,mcnemar_p_exact,paired_sets_identical
qwen,core_3seed,B_to_C_incremental_repair,strict_CBW_on_arm_A,52,0,0.000000,0.055982,0.055982,0.00417456,0.0694428,0.349749,0.592966,0.030477,A_to_B_same_budget_repair,0,0,,True
qwen,core_3seed,B_to_C_incremental_harm_within_CBW,strict_CBW_on_arm_A,52,0,0.000000,0.055982,0.055982,0.00417456,0.0694428,0.349749,0.592966,0.030477,,,,,
qwen,core_3seed,B_to_C_harm,complete_and_plurality_correct_on_arm_A,1851,0,0.000000,0.001617,0.001617,2.00856e-85,5.83974e-42,5.74733e-17,8.33192e-09,0.000869,A_to_B_resampling_harm,5,5,0.0625,False
llama,core_3seed,B_to_C_incremental_repair,strict_CBW_on_arm_A,115,0,0.000000,0.025713,0.025713,5.46876e-06,0.00274293,0.0979487,0.314809,0.013898,A_to_B_same_budget_repair,4,0,,True
llama,core_3seed,B_to_C_incremental_harm_within_CBW,strict_CBW_on_arm_A,115,0,0.000000,0.025713,0.025713,5.46876e-06,0.00274293,0.0979487,0.314809,0.013898,,,,,
llama,core_3seed,B_to_C_harm,complete_and_plurality_correct_on_arm_A,1650,0,0.000000,0.001814,0.001814,3.1633e-76,1.75367e-37,3.33446e-15,6.28161e-08,0.000975,A_to_B_resampling_harm,36,36,2.91038e-11,False
qwen,full_split,B_to_C_incremental_repair,strict_CBW_on_arm_A,240,0,0.000000,0.012405,0.012405,1.0428e-11,4.50469e-06,0.00783895,0.0896286,0.006684,A_to_B_same_budget_repair,1,0,,True
qwen,full_split,B_to_C_incremental_harm_within_CBW,strict_CBW_on_arm_A,240,0,0.000000,0.012405,0.012405,1.0428e-11,4.50469e-06,0.00783895,0.0896286,0.006684,,,,,
qwen,full_split,B_to_C_harm,complete_and_plurality_correct_on_arm_A,3994,0,0.000000,0.000750,0.000750,1.75624e-183,1.06679e-89,9.05621e-36,3.6895e-18,0.000403,A_to_B_resampling_harm,20,20,1.90735e-06,False
llama,full_split,B_to_C_incremental_repair,strict_CBW_on_arm_A,509,0,0.000000,0.005868,0.005868,5.12197e-24,4.58474e-12,3.42037e-05,0.00600225,0.003157,A_to_B_same_budget_repair,10,0,,True
llama,full_split,B_to_C_incremental_harm_within_CBW,strict_CBW_on_arm_A,509,0,0.000000,0.005868,0.005868,5.12197e-24,4.58474e-12,3.42037e-05,0.00600225,0.003157,,,,,
llama,full_split,B_to_C_harm,complete_and_plurality_correct_on_arm_A,3168,1,0.000316,0.001497,0.001497,3.87297e-143,4.4979e-69,1.05066e-26,4.90694e-13,0.000508,A_to_B_resampling_harm,150,151,1.06499e-43,False
r1,r1_3seed,B_to_C_incremental_repair,strict_CBW_on_arm_A,24,0,0.000000,0.117346,0.117346,0.0797664,0.291989,0.61578,0.785678,0.064861,A_to_B_same_budget_repair,0,0,,True
r1,r1_3seed,B_to_C_incremental_harm_within_CBW,strict_CBW_on_arm_A,24,0,0.000000,0.117346,0.117346,0.0797664,0.291989,0.61578,0.785678,0.064861,,,,,
r1,r1_3seed,B_to_C_harm,complete_and_plurality_correct_on_arm_A,971,0,0.000000,0.003080,0.003080,3.71088e-45,2.34218e-22,3.02357e-09,5.77795e-05,0.001656,A_to_B_resampling_harm,3,3,0.25,False
qwen,core_T0.60_3seed,B_to_C_incremental_repair,strict_CBW_on_arm_A,60,0,0.000000,0.048703,0.048703,0.00179701,0.0460698,0.297553,0.547157,0.026467,A_to_B_same_budget_repair,1,,,
qwen,core_T0.75_3seed,B_to_C_incremental_repair,strict_CBW_on_arm_A,52,0,0.000000,0.055982,0.055982,0.00417456,0.0694428,0.349749,0.592966,0.030477,A_to_B_same_budget_repair,0,,,
qwen,core_T1.00_3seed,B_to_C_incremental_repair,strict_CBW_on_arm_A,38,0,0.000000,0.075808,0.075808,0.018248,0.142396,0.464078,0.682555,0.041469,A_to_B_same_budget_repair,0,,,
llama,core_T0.60_3seed,B_to_C_incremental_repair,strict_CBW_on_arm_A,115,1,0.008696,0.040586,0.040586,7.53473e-05,0.0193449,0.327828,0.680497,0.013898,A_to_B_same_budget_repair,3,,,
llama,core_T0.75_3seed,B_to_C_incremental_repair,strict_CBW_on_arm_A,115,0,0.000000,0.025713,0.025713,5.46876e-06,0.00274293,0.0979487,0.314809,0.013898,A_to_B_same_budget_repair,4,,,
llama,core_T1.00_3seed,B_to_C_incremental_repair,strict_CBW_on_arm_A,84,0,0.000000,0.035035,0.035035,0.000143341,0.0134519,0.183227,0.429889,0.018978,A_to_B_same_budget_repair,1,,,
