contrast,dataset,definition,n_eligible,harm_count,harm_rate,ci95_low,ci95_high,certain_harm_count,possible_harm_count
A_to_B_resampling,all,complete_plurality_correct,3994,20,0.005007511266900351,0.0030613203397675966,0.007723150456152997,13,20
A_to_B_resampling,all,complete_all_correct,3700,0,0.0,0.0,0.000996497613221331,0,0
A_to_B_resampling,gsm8k,complete_plurality_correct,1232,6,0.00487012987012987,0.0017892855198466625,0.010569876772856467,4,6
A_to_B_resampling,gsm8k,complete_all_correct,1162,0,0.0,0.0,0.0031695613563539923,0,0
A_to_B_resampling,math,complete_plurality_correct,2762,14,0.005068790731354091,0.002773842248921578,0.008489959147943246,9,14
A_to_B_resampling,math,complete_all_correct,2538,0,0.0,0.0,0.0014524034415163603,0,0
A_to_C_combined,all,complete_plurality_correct,3994,20,0.005007511266900351,0.0030613203397675966,0.007723150456152997,13,21
A_to_C_combined,all,complete_all_correct,3700,0,0.0,0.0,0.000996497613221331,0,0
A_to_C_combined,gsm8k,complete_plurality_correct,1232,6,0.00487012987012987,0.0017892855198466625,0.010569876772856467,4,6
A_to_C_combined,gsm8k,complete_all_correct,1162,0,0.0,0.0,0.0031695613563539923,0,0
A_to_C_combined,math,complete_plurality_correct,2762,14,0.005068790731354091,0.002773842248921578,0.008489959147943246,9,15
A_to_C_combined,math,complete_all_correct,2538,0,0.0,0.0,0.0014524034415163603,0,0
B_to_C_tokens,all,complete_plurality_correct,3994,0,0.0,0.0,0.0009231788793696818,0,4
B_to_C_tokens,all,complete_all_correct,3700,0,0.0,0.0,0.000996497613221331,0,0
B_to_C_tokens,gsm8k,complete_plurality_correct,1232,0,0.0,0.0,0.002989742129115315,0,1
B_to_C_tokens,gsm8k,complete_all_correct,1162,0,0.0,0.0,0.0031695613563539923,0,0
B_to_C_tokens,math,complete_plurality_correct,2762,0,0.0,0.0,0.001334691219632505,0,3
B_to_C_tokens,math,complete_all_correct,2538,0,0.0,0.0,0.0014524034415163603,0,0
