model,dataset,definition,outcome,scope,n_seeds,n_problems,numerator_count,denominator_count,estimate,binomial_wilson95_lower,binomial_wilson95_upper,cluster_ci95_lower,cluster_ci95_upper
qwen,all,unconditional,base_plurality_accuracy,all_seeds,3,800,2075.0,2400.0,0.8645833333333334,0.8503099281800628,0.8776914937017848,0.8408333333333334,0.8870833333333333
qwen,all,unconditional,base_plurality_accuracy,leave_out:42,2,800,1386.0,1600.0,0.86625,0.8486911910596285,0.8820543533670459,0.8425,0.88875
qwen,all,unconditional,base_plurality_accuracy,leave_out:314159,2,800,1379.0,1600.0,0.861875,0.8441000644701007,0.8779164376170059,0.838125,0.8843906249999998
qwen,all,unconditional,base_plurality_accuracy,leave_out:271828,2,800,1385.0,1600.0,0.865625,0.8480349602062153,0.8814635781719496,0.841875,0.888125
qwen,all,unconditional,extended_plurality_accuracy,all_seeds,3,800,2168.0,2400.0,0.9033333333333333,0.8908582870630344,0.914519285944541,0.8825,0.9229166666666666
qwen,all,unconditional,extended_plurality_accuracy,leave_out:42,2,800,1444.0,1600.0,0.9025,0.8869864248735814,0.9160854703666547,0.881875,0.9225
qwen,all,unconditional,extended_plurality_accuracy,leave_out:314159,2,800,1443.0,1600.0,0.901875,0.8863216989695467,0.9155031902221799,0.88125,0.92125
qwen,all,unconditional,extended_plurality_accuracy,leave_out:271828,2,800,1449.0,1600.0,0.905625,0.8903128078684301,0.9189941176143546,0.885,0.925625
qwen,all,unconditional,base_pass_at_1,all_seeds,3,800,1964.875,2400.0,0.8186979166666667,,,0.7935924479166666,0.8422408854166666
qwen,all,unconditional,base_pass_at_1,leave_out:42,2,800,1312.625,1600.0,0.820390625,,,0.79546875,0.84390625
qwen,all,unconditional,base_pass_at_1,leave_out:314159,2,800,1308.75,1600.0,0.81796875,,,0.792888671875,0.841953125
qwen,all,unconditional,base_pass_at_1,leave_out:271828,2,800,1308.375,1600.0,0.817734375,,,0.79265625,0.841484375
qwen,all,unconditional,extended_pass_at_1,all_seeds,3,800,2083.25,2400.0,0.8680208333333334,,,0.8470833333333333,0.8882304687499999
qwen,all,unconditional,extended_pass_at_1,leave_out:42,2,800,1390.25,1600.0,0.86890625,,,0.8479667968750001,0.889375
qwen,all,unconditional,extended_pass_at_1,leave_out:314159,2,800,1387.5,1600.0,0.8671875,,,0.8459375,0.8875
qwen,all,unconditional,extended_pass_at_1,leave_out:271828,2,800,1388.75,1600.0,0.86796875,,,0.8470292968750001,0.888046875
qwen,gsm8k,unconditional,base_plurality_accuracy,all_seeds,3,400,1169.0,1200.0,0.9741666666666666,0.9635654763400676,0.9817417247550053,0.9583333333333335,0.9875
qwen,gsm8k,unconditional,base_plurality_accuracy,leave_out:42,2,400,779.0,800.0,0.97375,0.9602042425304217,0.9827677722647005,0.95875,0.9875
qwen,gsm8k,unconditional,base_plurality_accuracy,leave_out:314159,2,400,779.0,800.0,0.97375,0.9602042425304217,0.9827677722647005,0.9575,0.9875
qwen,gsm8k,unconditional,base_plurality_accuracy,leave_out:271828,2,400,780.0,800.0,0.975,0.9617010785457062,0.9837589890589017,0.95875,0.98875
qwen,gsm8k,unconditional,extended_plurality_accuracy,all_seeds,3,400,1169.0,1200.0,0.9741666666666666,0.9635654763400676,0.9817417247550053,0.9583333333333335,0.9875
qwen,gsm8k,unconditional,extended_plurality_accuracy,leave_out:42,2,400,779.0,800.0,0.97375,0.9602042425304217,0.9827677722647005,0.95875,0.9875
qwen,gsm8k,unconditional,extended_plurality_accuracy,leave_out:314159,2,400,779.0,800.0,0.97375,0.9602042425304217,0.9827677722647005,0.9575,0.9875
qwen,gsm8k,unconditional,extended_plurality_accuracy,leave_out:271828,2,400,780.0,800.0,0.975,0.9617010785457062,0.9837589890589017,0.95875,0.98875
qwen,gsm8k,unconditional,base_pass_at_1,all_seeds,3,400,1151.75,1200.0,0.9597916666666667,,,0.943125,0.9742708333333334
qwen,gsm8k,unconditional,base_pass_at_1,leave_out:42,2,400,768.875,800.0,0.96109375,,,0.9446875,0.97546875
qwen,gsm8k,unconditional,base_pass_at_1,leave_out:314159,2,400,766.625,800.0,0.95828125,,,0.94140625,0.973125
qwen,gsm8k,unconditional,base_pass_at_1,leave_out:271828,2,400,768.0,800.0,0.96,,,0.943125,0.9746875
qwen,gsm8k,unconditional,extended_pass_at_1,all_seeds,3,400,1152.0,1200.0,0.96,,,0.9433333333333335,0.9744791666666666
qwen,gsm8k,unconditional,extended_pass_at_1,leave_out:42,2,400,768.875,800.0,0.96109375,,,0.94453125,0.97546875
qwen,gsm8k,unconditional,extended_pass_at_1,leave_out:314159,2,400,766.875,800.0,0.95859375,,,0.94187109375,0.9734414062499999
qwen,gsm8k,unconditional,extended_pass_at_1,leave_out:271828,2,400,768.25,800.0,0.9603125,,,0.94358984375,0.9748476562499999
qwen,math,unconditional,base_plurality_accuracy,all_seeds,3,400,906.0,1200.0,0.755,0.729877501117118,0.7784950885754872,0.7149791666666666,0.795
qwen,math,unconditional,base_plurality_accuracy,leave_out:42,2,400,607.0,800.0,0.75875,0.7279111881780606,0.7871157433855022,0.7175,0.79875
qwen,math,unconditional,base_plurality_accuracy,leave_out:314159,2,400,600.0,800.0,0.75,0.71884753333338,0.778763028563782,0.70875,0.79
qwen,math,unconditional,base_plurality_accuracy,leave_out:271828,2,400,605.0,800.0,0.75625,0.7253198875778818,0.7847309383667093,0.715,0.79625
qwen,math,unconditional,extended_plurality_accuracy,all_seeds,3,400,999.0,1200.0,0.8325,0.8103181299204655,0.8525598546787158,0.7966666666666665,0.8666666666666667
qwen,math,unconditional,extended_plurality_accuracy,leave_out:42,2,400,665.0,800.0,0.83125,0.8037275429364357,0.8556064515773041,0.795,0.86625
qwen,math,unconditional,extended_plurality_accuracy,leave_out:314159,2,400,664.0,800.0,0.83,0.8024078511415792,0.8544380905626746,0.79375,0.865
